Module,Chapter,Lecture Number,Lecture Title,Duration
Module 1: Fundamentals of Programming,How to utilise Appliedaicourse,1.1,How to Learn from  Appliedaicourse,35 mins
Module 1: Fundamentals of Programming,How to utilise Appliedaicourse,1.2,How the Job Guarantee program works,16 mins
Module 1: Fundamentals of Programming,How to utilise Appliedaicourse,1.1,How to Learn from  Appliedaicourse,35 mins
Module 1: Fundamentals of Programming,How to utilise Appliedaicourse,1.2,How the Job Guarantee program works,16 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.1,"Python, Anaconda and relevant packages installations",23 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.2,Why learn Python?,4 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.3,Keywords and identifiers,6 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.4,"comments, indentation and statements",9 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.5,Variables and data types in Python,32 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.6,Standard Input and Output,7 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.7,Operators,14 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.8,Control flow: if else,10 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.9,Control flow: while loop,16 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.10,Control flow: for loop,15 mins
Module 1: Fundamentals of Programming,Python for Data Science Introduction,2.11,Control flow: break and continue,10 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.1,Lists,38 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.2,Tuples part 1,10 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.3,Tuples part-2,4 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.4,Sets,16 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.5,Dictionary,21 mins
Module 1: Fundamentals of Programming,Python for Data Science: Data Structures,3.6,Strings,16 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.1,Introduction,13 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.2,Types of functions,25 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.3,Function arguments,10 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.4,Recursive functions,16 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.5,Lambda functions,8 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.6,Modules,7 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.7,Packages,6 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.8,File Handling,23 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.9,Exception Handling,15 mins
Module 1: Fundamentals of Programming,Python for Data Science: Functions,4.10,Debugging Python,15 mins
Module 1: Fundamentals of Programming,Python for Data Science: Numpy,5.1,Numpy Introduction,41 mins
Module 1: Fundamentals of Programming,Python for Data Science: Numpy,5.2,Numerical operations on Numpy,41 mins
Module 1: Fundamentals of Programming,Python for Data Science: Matplotlib,6.1,Getting started with Matplotlib,20 mins
Module 1: Fundamentals of Programming,Python for Data Science: Pandas,7.1,Getting started with pandas,8 mins
Module 1: Fundamentals of Programming,Python for Data Science: Pandas,7.2,Data Frame Basics,9 mins
Module 1: Fundamentals of Programming,Python for Data Science: Pandas,7.3,Key Operations on Data Frames,31 mins
Module 1: Fundamentals of Programming,Python for Data Science: Computational Complexity,8.1,Space and Time Complexity: Searching for a number in a list,20 mins
Module 1: Fundamentals of Programming,Python for Data Science: Computational Complexity,8.2,Binary search,17 mins
Module 1: Fundamentals of Programming,Python for Data Science: Computational Complexity,8.3,Find elements common in two lists,6 mins
Module 1: Fundamentals of Programming,Python for Data Science: Computational Complexity,8.4,Find elements common in two lists using a Hashtable/Dict,12 mins
Module 1: Fundamentals of Programming,SQL,9.1,Introduction to Databases,22 mins
Module 1: Fundamentals of Programming,SQL,9.2,Why SQL?,15 mins
Module 1: Fundamentals of Programming,SQL,9.3,Execution of an SQL statement.,7 mins
Module 1: Fundamentals of Programming,SQL,9.4,IMDB dataset,12 mins
Module 1: Fundamentals of Programming,SQL,9.5,Installing MySQL,11 mins
Module 1: Fundamentals of Programming,SQL,9.6,Load IMDB data.,4 mins
