What is EDA,"Exploratory Data Analysis (EDA) is the process of analyzing data to understand its structure, patterns, and relationships using statistics, linear algebra, and plotting tools.<br><br><b>ELI5:</b> Like a detective examining clues to understand a mystery, EDA helps uncover insights in data.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
What is the IRIS dataset,"The IRIS dataset is a classic dataset in data science, collected in 1936, used to classify flowers into 3 species based on 4 features: Sepal Length, Sepal Width, Petal Length, and Petal Width.<br><br><b>ELI5:</b> Think of it as a plant catalog where each entry describes a flower's measurements to identify its type.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
How does a 2D scatter plot work in EDA,"A 2D scatter plot visualizes the relationship between two features (e.g., Sepal Length vs. Sepal Width) by plotting data points on a 2D plane. It helps identify patterns, clusters, or separability between classes.<br><br><b>ELI5:</b> Like plotting dots on a graph to see if certain flower types group together based on their measurements.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
How does a pair plot extend visualization,"A pair plot creates a grid of scatter plots for all pairs of features, allowing visualization of up to 6D or 10D data. It helps identify correlations and separability across multiple dimensions.<br><br><b>ELI5:</b> Like looking at every possible combination of flower measurements side-by-side to spot trends.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
How does class balance affect EDA,"Class balance, checked via .value_counts(), reveals if one class dominates the dataset. Imbalance can skew analysis and model performance.<br><br><b>ELI5:</b> If one flower type has way more samples than others, your analysis might favor it, like a biased referee.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
How does dimensionality limit visualization,"Visualizing beyond 3D requires tools like pair plots or dimensionality reduction (e.g., PCA) because human perception is limited to 3D space.<br><br><b>ELI5:</b> Trying to visualize 4D data is like trying to draw a 4D cube on paper—you need tricks to flatten it.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
How does hue in plots improve EDA,"Using hue (e.g., seaborn's hue='species') colors data points by class, making separability and patterns between classes visually apparent.<br><br><b>ELI5:</b> Like coloring each flower type differently on a graph to see which ones cluster together.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
What is a pair plot,"A pair plot is a matrix of scatter plots showing pairwise relationships between variables. It is useful for low-dimensional data (typically < 10 features).<br><br><b>ELI5:</b> Imagine a grid where each cell shows how two variables interact, like plotting height vs weight for every possible pair of measurements.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
What is a histogram,A histogram is a bar plot representing the frequency distribution of a single variable. It divides the data into bins and counts observations in each bin.<br><br><b>ELI5:</b> Like sorting marbles into buckets by size and counting how many fit in each bucket.,aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
What is a PDF,"A Probability Density Function (PDF) is a smoothed version of a histogram using Kernel Density Estimation (KDE). It estimates the underlying probability distribution of a variable.<br><br><b>ELI5:</b> Instead of rigid buckets, imagine a smooth curve that shows where data points are most likely to appear.",aaic::module_2_data_science_exploratory_data_analysis_and_data_visualization::plotting_for_exploratory_data_analysis_eda
